,reviews_classified_all
70,boa tarde preciso acessar o meu extrato e o saldo da caixa se for possivel me manda uma resposta
71,depois que atualizou pede pra cadastrar senha direto
72,otimo acesso e muito bom
73,o aplicativo e bom porem tem muito a melhorar podendo simplificar e aumenta o acesso para resolver as nessecidades com mais praticidade e rapidez
74,aplicativo trava o tempo todo desativa a digital toda hora e da senha incorreta mesmo com a senha certa precisa refazer todo o cadastro toda vez que quero entrar no aplicativo so me faz passar raiva
75,ta horrivel agora tem que desbloquear em caixa eletronico pra ter acesso desapontante
76,configuramos para senha biometrica e depois do nada pede a senha de numeros muitas vezes ja haviamos esquecido e lento e constantemente fica fora do ar fora isso nao e simplificado e temos que passar por muitas etapas para realizar operacoes simples
77,amo esse aplicativo so nao gostei de ter que cadastrar a assinatura eletronicaou senha eletronicaso la no caixa economica pessoalmenteem pleno pandemia era pra fazer via internet
78,nunca consegui entrar no aplicativo com a digitale sempre que vou entrar com a senha cadastrada diz que ta bloqueada e agora nao consigo entrar de jeito nenhum esse aplicativo e pessimo deus me livre
79,facil acesso
80,super tranquilo muito facil de acessar pagamento de faturas sem sair de casa
81,rapido e facil mas nao e tao seguro porque as senhas ficam salvas no aplicativo
82,voce passa horas tentando um acesso e a praga trava com usuario fico imaginando os idosos pra conseguir isso sem tolerancia pra tanta idiotice se voce e cliente digita o cpf senha tudo e no final nao te da acesso vai pro inferno com isso
83,esse aplicativo e horrivel pra acessar a conta sempre da erro logo troco de banco
84,gosto do aplicativo usei muito tempo so que agora toda vez que atualiza tem que ficar indo ate o caixa eletronico pra liberar senha e chato isso me deixou na mao esses tempos nao consigo acompanha a conta por causa disso sei que tem que ter seguranca porem tem que ser um pouco mais acessivel tambem
85,esta melhorando nao tive nenhum problema ou dificuldade em acessar o aplicativo
86,esse aplicativo nao serve pra nada fui hoje na agencia da caixa pra cadastrar meu dispositivo e depois quando fui acessar o aplicativo diz que o usuario esta bloqueado voces precisam melhorar esse aplicativo todo ano e a mesma coisa ja sou cliente de voces desde 2020 e de la pra ca o aplicativo nao evoluiu nada
87,aplicativo pessimo sai toda hora da biometria pior burocracia pra recuperar senha sem falar da assinatura eletronica que e um bo pra poder criar e se esquecer ja e outros porens bem que deveriam atualizar esse aplicativo e facilitar com a nossa vida fazendo essas mudancas no aplicativo pessima experiencia ja nao uso mais
88,muito importante e facil e rapido o acesso obrigado
89,as vezes trava um saco ter que colocar senha uma vez que cadastrei digital
90,gosto do aplicativo a unica queixa e em relacao as transacoes como transferencias pix pagamentos tenho que cadastrar o meu telefone faco todo o procedimento e tenho que ir num caixa eletronico mas quando chego diz que nao consta nenhum aparelho para cadastrar enfim nao consigo fazer nada online e ter que ir na minha agencia me toma o dia todo poderia ser mais facil cadastrar o meu telefone poderiam me mandar uma senha ou algo que eu pudesse fazer sem precisar ir em uma agencia
91,muito bompena que nao tenho acesso a todos acessos
92,incrivel nao consigo acessar minha conta pelo aplicativo diz que usuario nao encontrado
93,sequer estou conseguindo concluir terminar o cadastro de minha conta abri ha pouco tempo e tentei abrila pelo aplicativo no momento em que fui acessar meu saldo o aplicativo disse a seguinte informacao e necessario fazer cadastro do dispositivo espero pelo apelido que a propria agencia disponibiliza ha literais 8 horas e ate agora nao tive respaldo algum indignado com esta situacao
94,ha meses de tempos em tempos perco algumas horas tentando acessar a minha conta corrente e visualizar o extrato ate o presente momento nao tive resultado site horrivel
95,so funciona se tiver acesso completo ao aparelho dispensavel
96,agente faz o cadastramento do usuario quando volta pra acessa nao entra fica dizendo erro no longe do usuario tente mais tarde ir voce pode tenta quantas vezes quiser nao entra
97,a tempos que cadastro minha senha para poder usar outros servicos mas nao consigo faco no caixa pela agencia porem ao efetuar no celular nunca esta disponivel demais tudo bem
98,palhacada de aplicativo toda vez fica pedindo para eu me cadastrar de novo mesmo eu nao colocando a senha errada e e uma burocracia para cadastrar de novo se desse eu colocaria 0 estrela
99,perfeito super pratico os acessos as informacoesfacilitando muito no dia a dia
100,facil acessar
101,e bom so que a cada seis meses pede pra trocar nome de usuario e senha e aquela mensagem dispositivo sem cadastro toda hora que entro nao quero fazer cadastro nao se eu quisesse eu ja tinha feito
102,alguem consegue me explicar como um banco consegue ter um aplicativo tao pessimo e horripilante assim slk conectado na internet com acesso tudo tranquilo nao consigo entrar na minha conta aparece uma mensagem dizendo que estou sem internet pelo amor de deus galera embora acordar pra vida
103,o que tem de melhorar e que ao fazer um ted ou doc ou pix nao aparece o saldo na conta corrente falha grave quando faz uma operacao o saldo nao atualiza falha grave ta melhorando mais ainda nao mostra o saldo ainda ta pecando pelo saldo da conta que nao atualiza como deveria fez uma operacao atualiza fez outra atualiza do jeito que ta esta com problema na hora de colocar senha ja vem pre preenchida ta errado tem de vir pra fazer o preenchimentovalidacao de boleto tambem tem erro
104,facil de usar e facilita para extrato transferir e pix de casa se tiver duvidas so ir na agencia cadastrar a senha as vezes sai do ar para manutencao ai aquele dia nao da para usar mas e so ir na agencia
105,nao esta funcionando e bloqueio o acesso
106,aplicativo pessimo faz tudo e nao resolve nada tem de ter varios outros apps da caixa sempre tenho problemas devido as inumeras senhas que pedem
107,horrivel esse apptem que pagar contas urgentes e mandar pix mas vive falhando e dando erro de senha
108,do nada nao consigo mais acessar minha conta aplicativo ta ruim
109,aplicativo simples porem eficaz informacoes e acessos de facil acesso
110,aplicativo pessimo toda a vez que troca o celular tem que ir a agencia trocar a maldita senha pra fazer transferencias e um saco deviam colocar todas as contas da caixa no caixa tem
111,aplicativo ruim voce estala coloca uma senha e toda hora tem que mudar de conta porque nao entra na primeira conta que fiz pessimo
112,tem dias que nao abre sempre me faz ter que cadastrar outra senha nao entendo o motivo vive me bloqueando
113,o aplicativo simplesmente nao abre eu sei o login e a senha e nao abre por nada
114,nao consigo logar no aplicativo da erro de usuario e senha nao reconhece a biometria
115,estou tentando acessar o aplicativo desde o dia 070522 e todas as tentativas sao frustradas aplicativo esta horrivel
116,facil acesso
117,eu nao consigo preencher o cadastro por que pede uma senha e eu coloco e nao funciona
118,embora em algumas vezes sempre tenho que cadastrar tudo de novo quando fico algum tempo sem acessar parece que agora nao estou tendo esse problema
119,pessimo aplicativo banco engessado um trabalho do caramba pra ativar o celular pra pagar conta e o aplicativo ainda fica travando e nao funciona roubaram meu celular e ja nao bastasse esse estresse a caixa tem o pior atendimento pra cancelar acesso do dispositivo espero que pra conseguirem acessar minha conta seja tao dificil tao impossivel como eu que nao consegui deslogar o acesso depois de 4hs esperando atendimento por telefone ainda por cima em pleno 2022 e nao conseguindo nada depois de atendida parabens vcs sao os piores
120,quero saber como eu vou a um caixa eletronico estando fora do brasil desbloquear uma senha eletronica no meu aparelho que ja estava cadastrado sinceramente o aplicativo esta deixando a desejar agora estou impossibilitado de movimentar minha conta
121,o pior aplicativo de bancos do mundo minha esposa e eu estamos a mais de 8 meses reclamando que o aplicativo nao funciona efetuamos inumeras atualizacoes simplesmente nao conseguimos acesso aconselho a jamais utilizarem a caixa ja efetuei inumeros contatos com o suporte anexei inclusive imagens do aplicativo e do internet banking demonstrando a impossibilidade do acesso infelizmente o problema persiste por mais de 6 meses
122,queria entender com tanta tecnologia e o aplicativo de vcs nao pode simplesmente validar o uso do aplicativo por reconhecimento facial tive um imprevisto estou numa localidade longe e nao tenho acesso a conta pela burocracia de vcs sinceramente viu
123,infelizmente o aplicativo e ultra obsoleto tanto no seu visual quanto na funcionalidade as funcoes nao estao organizadas de forma clara e intuitiva o que deixa o aplicativo com um visual muito poluido e nada intuitivo extra isto ainda tem o constante bloqueio de usuario e senha fazendo necessario a criacao contante de novo usuario e senha vamos melhorar este aplicativo caixa
124,tem dias que nao consigo acessar minha conta 🤦🤦
125,muito ruim pois praticamente todo mes tem que ficar indo ate a agencia pegar fica para desbloquear a senha eletronica que bloqueia sempre tanto que parei ate de usar o aplicativo
126,ele perde as configuracoes e voce tem que ficar trocando usuario e senha direto
127,precisa melhor a questao da biometria porque constantemente fica saindo e pedindo a senha e poderia aparecer o nome e horario de quem fez um pix no extrato igual os outros bancos aparecem
128,o aplicativo esta com algumas falhas sempre que clico pra ver so saldo da um erro e tenho que colocar a senha de de novopor favor corrigir esse bug no aplicativo grato
129,ipad 7 com sistema ipados 155 o aplicativo nao esta solicitando permissao de acesso a camera o que inviabiliza a captura de codigo de barras para pagamentos etc o aplicativo congela quando tocamos na opcao “leitor de codigo de barra”
130,para dar 5 estrelas a unica queixa e bugs de acesso e poderiamos ter condicoes de algumas decisoes serem resolvidas pelo aplicativo a concorrencia nesse caso ja esta a frente
131,o aplicativo e bom atende as necessidades so tem um ponto a melhoras o bug que da em determinados horarios que nao se consegue acessar de jeito nenhum o mesmo isso causa serios desgastes e vergonha
132,o aplicativo e tao ruim quanto o banco vive fora do ar bloqueia o usuario mesmo digitando a senha correta se melhorar muito ainda vai continuar sendo ruim melhorem
133,somente consigo acesso via wifi nao consigo pela rede movel quase sempre da erro ao entrar e precisa recadastrar tudo como tudo que vem da caixa e complicado para usar e gera transtorno
134,sei a senha e usuario e o mesmo fica aparecendo erro direto ai depois de algumas tentativas frustradas pede para cadastrar novo usuario 🤦‍
135,tenho uma iphone 13 pro max que a semanas nao consigo acessar o aplicativo ja fui na agencia entrei em contato com sac e nunca foi resolvido
136,estou tentando puxar meus extratos da movimentacao da minha conta poupanca e nao estou conseguindo voltar a ter acesso pelo whatsapp nao esta mais aparecendo a opcao se nao da pra usar mais porque disponibiza falta de respeito com o usuario se for na agencia sao filas enormes e uma lentidao no atendimento ai se vai tentar pela internet nao consegue do mesmo jeito voces so dificultam a vida da populacao
137,apesar de ja ter liberado tudo localizacao acesso a camera etc e de ter reinstalado varias vezes nao consigo ler nenhum codigo de barras na funcao pagamento uso um iphone13 pro com ios 155 ressalto que ja funcionou bem nesse aparelho
138,o aplicativo e bom mas ja tem um tempo que nao tenho acesso ao codigo de barra e nao consigo fazer pagamento pelo qr code
139,faz mais de duas semanas que nao consigo acessar a minha conta precisava consultar saldo pagar contas fazer pix “erro ops nao foi possivel processar sua solicitacao favor realizar um novo login cod 0530” o problema nao e a minha internet o aplicativo reflete com clareza o estilo de banco que a caixa economica federal e o estilo de atendimento prestado e o descaso com os consumidores muitas vezes obrigados a fazer uso desse banco pelo governo federal para chegar no nivel razoavel tem muito chao pela frente deixo registrado a minha insatisfacao com esse banco com esse aplicativo e com o descaso que precisamos tolerar
140,aplicativo de dificil navegacao poucas opcoes ruim de acessar as funcoes
