,reviews_classified4
204,o tanto de gente que e cliente da nubank sendo roubadalevando golpe e o proprio banco nao ajudando em nada ta ficando preocupante
205,todo dia uma pessoa caindo em golpe da nubank e eu com medo porque abri conta esses dias
206,quase tomo um golpe no meu cartao agora gracas a deus que o nubank automaticamente notou que era suspeito e nao autorizou a compra que susto
207,a nubank ta na maior vacilacao ne segundo caso ja que vejo com negocio de golpe e ele nao fazem nada
208,a menina querendo culpar o nubank porque ela caiu num golpe do “mudei de numero faz um pix ai pra mim” so pode estar de sacanagem
209,toda hora abrindo o twitter e vendo alguem caindo em golpe tendo pix feito indevidamente na conta do nubank e etc a parte boa de ser apenas um pobre infeliz e que voce nao precisa se preocupar com golpe porque nao tem da onde o ladrao tirar
210,eu lendo aterrorizada mais um caso de golpe e perda de dinheiro no nubank eu aliviada lembrando que sou uma fudida e nao tenho dinheiro na conta pra ser roubada ‍🤡
211,apareceu um tweet daqueles de assuntos sugeridos pra mim o assunto era fintech e o tweet era uma pessoa reclamando do nubank dizendo que sofreu golpe e que eles nao iam devolver o dinheiro kkkkkk nada de novo
212,gente por deus clonaram o celular do amigo de uma mona mandaram mensagem pra ela fingindo ser ele pedindo um valor altissimo de pix ela foi la e fez a transferencia depois viu que era golpe e ta exigindo que o nubank devolva o money... é mole
213,que vergonha essa menina ta passando por causa desse golpe do pix o nubank nao é obrihgado a devolver o nubank nao pode criar leis
214,nubank tinha falha de seguranca que facilitava roubo de dinheiro usando o gmail httpstcoxz5uezsz54
215,nubank tinha falha de seguranca que facilitava roubo de dinheiro usando o gmail httpstcodf0arjhfxg httpstcowjk4xvuhb0
216,nubank tinha falha de seguranca que facilitava roubo de dinheiro usando o gmail httpstcoe5kdc7io5y httpstcogme5k08hi1
217,nubank tinha falha de seguranca que facilitava roubo de dinheiro usando o gmail httpstcojh6kakxtlj
218,nubank tinha falha de seguranca que facilitava roubo de dinheiro usando o gmailhttpstcotm9blqgyzb
219,semana passada ai meu deus roubo de celular thread do nubank vou so usar cheque que absurdo hoje ah entao a minha senha do celular e o aniversario do meu cachorro fido que nasceu em 30 de fevereiro e
220,on youtube thread assustadora sobre roubo de celular com aplicativo do nubank httpstcogojplg8oyc
221,thread assustadora sobre roubo de celular com aplicativo do nubank httpstcof1qtzxaj1q via youtube
222,duvida sobre roubo de celular e desvio de dinheiro via pix apesar do limite alto nao precisa de senha pra isso no nubank precisa de senha pra qualquer transacao via pix pagamento transferencia etc
223,thread assustadora sobre roubo de celular com aplicativo do nubank httpstcoeaaemkuilk via youtube
224,he nubank bandidos fazendo a festa com roubo de celulares e o aplicativo de voces so deixa logar com biometria ou passcode se o malandro pede tem a senha do celular ele rouba toda a minha grana no aplicativo sabia vamos melhorar essa seguranca ai urgente por favor
225,thread assustadora sobre roubo de celular com aplicativo do nubank httpstcoetgedg4f10 via youtube
226,caralho mano qh3 odio porque em caso de perda ou roubo a remissao do cartao c6 bank e are 2000 o nubank faz remissao de graca afffs
227,aloadt sobre a thread do nubank geralmente no ato roubo o ladrao pede a senha inclusive destrava na hora pra confirmar passei por isso
228,meu amigo negocio desse da raiva viu vao trabalhar e o melhor que voces fazem roubo cartao clonagemdecartao credito nubank maisseguranca httpstcoap2mkmz4k7
229,rt tecnoblog nubank tinha falha de seguranca que facilitava roubo de dinheiro usando o gmail httpstcojh6kakxtlj
230,rt gdgknews nubank tinha falha de seguranca que facilitava roubo de dinheiro usando o gmail httpstcoxz5uezsz54
231,rt tecnoblog nubank tinha falha de seguranca que facilitava roubo de dinheiro usando o gmail httpstcojh6kakxtlj
232,rt tecnoblog nubank tinha falha de seguranca que facilitava roubo de dinheiro usando o gmail httpstcojh6kakxtlj
233,rt tecnoblog nubank tinha falha de seguranca que facilitava roubo de dinheiro usando o gmail httpstcojh6kakxtlj
234,rt tecnoblog nubank tinha falha de seguranca que facilitava roubo de dinheiro usando o gmail httpstcojh6kakxtlj
235,rt tecnoblog nubank tinha falha de seguranca que facilitava roubo de dinheiro usando o gmail httpstcojh6kakxtlj
236,rt talesofmystory semana passada ai meu deus roubo de celular thread do nubank vou so usar cheque que absurdo hoje ah entao a mi...
237,rt talesofmystory semana passada ai meu deus roubo de celular thread do nubank vou so usar cheque que absurdo hoje ah entao a mi...
238,rt talesofmystory semana passada ai meu deus roubo de celular thread do nubank vou so usar cheque que absurdo hoje ah entao a mi...
239,rt talesofmystory semana passada ai meu deus roubo de celular thread do nubank vou so usar cheque que absurdo hoje ah entao a mi...
240,netotheboralli nubank mas eu falo que e furada por causa dos roubo memo esses dias teve mo thread do mano que perdeu ate a dignidade por causa da seguranca do aplicativo kkkkkkkk agora quanto a andar com pano de banco temos um consenso de que e feiao
241,nubank e o que a gente pediu sobre o aumento da seguranca do aplicativo em caso de roubo ou golpe e o atendimento ao cliente nessas situacoes ta funcionando bem nunca vi ninguem pedindo pra dar mais dinheiro pra voces enquanto o nosso nem sabemos se esta de fato protegido
242,nubank e seguranca contra golpe e roubo de senha vai ter quando
243,ingridsilva nubank virou infelizmente um inferno na vida do trabalhador esse roubo atraves do pix eles estao fazendo ate contas laranja estamos sem seguranca nos nossos bancos parece que eles levam alguma coisa com isso nos jornais da tv tem denuncia direto dos golpes da gang do pix
244,cryinginswift coloquei o da nubank pela mesma finalidade que você vou a sp esporadicamente e o medo e real e mais barato que o dos demais e cobre tb danos ao telefone alem de roubo e furto mas tem 30 dias de carencia
245,saviomarttins oyafuso erikaserejo2 ingridsilva nubank assim e facil ne qualquer pessoa vai sair fazer transferencia alegar roubo e o banco sai no prejuizo nao to falando que foi o caso mas que pode acontecer ate porque nosso pais e o pais dos espertos ela fez a transferencia por conta dela e nao por erro do banco
246,bxbia mxavier96 aursinhapanda ingridsilva nubank nunca se devolve um pix com outro pix voce precisa comunicar o banco para reverter o pix errado porque mesmo que esteja tudo certo o banco pode pegar devolta o pix indevido por se tratar de roubo
247,mwlmel jxxlia ingridsilva nubank mas ele perdeu por causa de roubo amiga nao foi ele quem fez as transacoes fizeram no nome dele ela que fez a transacao no nome dela entao ela e responsavel
248,genocidebrazil rogerlirx gatoblueee ingridsilva nubank passa por analise bancaria a nao ser que seja uma falha do baco entao ocorre sim a devolucao mas em caso de roubo fraude e de responsabilidade do cliente em manter esses dados seguros
249,ingridsilva nubank mais que isso num passado ainda recente os bancos eram responsabilizados por golpe sofrido na agencia por furtoroubo na frente de suas agencias dentre coisas mais e impossivel que um servico tao essencial a economia nacional seja fragil e meio de golpes sem responsabilidade
250,96sromanoff isso eu também vi por isso nao tenho nubank fora que em roubo eles sao horriveis pra ajudar
251,lucianamarque50 ingridsilva nubank mas ai e um problema da pessoa o banco nao tem nada haver com o fato de você ter sido ingenuo se seu celular e roubado a samsung por exemplo nao tem culpa pelo o roubo e a mesma coisa com o nubank nao foi falha no sistema de seguranca
252,umseranonimous mateusvini55 ronconithaissa heirisoncaetano deianunes5 arieleletrica ingridsilva nubank conheci uma pessoa que forjou um assalto chamou a policia e tudo e forjou um roubo de um iphone pra ganhar outro do seguro...
253,ingridsilva nubank tenho 2 smarphones e um celular multilaser 2 chips flip sem navegador de internet compra marco2020 que uso para sair de casa os outros so em casa e nao tem aplicativos financeiros neles ha anos tinha medo do que agora e real roubo para sacar dinheiro por smartphones
254,alguem tem o fio da moca que da varias dicas de como nao cair em golpes e dicas de seguranca pix nubank etc
255,po nao e possivel que essa parada de seguranca do nubank chegou pra mim tao simplesmente me roubando nubank
256,mais um caso de celular roubado na timeline e com limpa nas contas e cartoes o que os bancos estao fazendo pra melhorarem a seguranca dos apps cc bradesco bancodobrasil itau santanderbr nubank bancointer
257,clonaram meu cartao de novo tentaram fazer compras totalmente aleatorias e a seguranca do nubank falhou eu vou é cancelar essa conta
258,nubank não tem seguranca decente pra impedir que clonem cartao e ainda querem que eu pague a fatura e mole
259,clonaram meu cartao da nubank mdss esse banco esta com o sistema de seguranca horrivel httpstcorqmzutctfl
260,clonaram meu cartave de uma amiga quase ao mesmo tem qual banco nubank se a nubank não melhorar com a seguranca eles fecharam não tem condicao comigo ja é a segunda vez
261,eu acho a seguranca do banco do brasil muito boa nao sei em relacao a golpes e essas coisas como eles atendem mas eu nao tiraria meu dinheiro de la pra por no nubank o empresarial deles precisa de varias etapas com senha e qr code pra poder fazer transferencias
262,toda semana alguem levando golpe no nubank os caras desistiram de investir na seguranca do banco
263,sobre o golpe do pix do nubank o sistema bancario brasileiro tem um bom nivel de seguranca no geral mas infelizmente nao e a prova de gente burra
264,utilidade publica pra quem tem o roxinho dica de seguranca caso perca o celular ou seja roubado acesse gt httpstcovp8snolayk e clique em login digite seu cpf e sua senha senha pra entrar no aplicativo nao e a senha do cartao a carregar essa tela clique em “estou sem cel” httpstcosgyqeqwzrt
265,a bicha cai em golpe de pix e culpa a nubank por não ter mais opcoes de seguranca no apppelo amor kkkkk
266,cara sou cliente nubank desde 9052016 e sinceramente to ficando receoso de continuar sendo relatos de problemas com a seguranca do aplicativo falta de auxilio em casos de vitimas de golpe somados ao fato de que nunca recebi nada mesmo sempre pagando antecipadamente tenso
267,vcs nos dao a opcao de cartao de credito mais a gente que tem que depositar o valor pra se tornar credito isso e roubo se eu tenho o dinheiro e melhor pagar a vista o credito seria uma emergencia mais ai vcs pegam o que e depositado e nao tem mais o credito e o dinheiro que e depositado pra onde vai acho isso errado nao recomendo vcs pra ninguem cambada de safado
268,tenho o cartao de credito a pouco tempo mais ja estou pra casela pois e uma fabrica de multas o dia deu paga e 26 mais so recebo dia 31 se eu passa 3 ou 4 dia pra paga o boleto vem um juro abisundo quaise 70 reais de juros fora que pra sacar o dinheiro cobrar também tenho o digito o pagamento e dia 20 e eu pago no final do mes junto com o nubank e eles nao cobrar nem um juro isso e um abisundo fica refem de juros que nunca acaba vou terminar de paga e cacela nao gostei desse cartao roubo
269,um roubo você tem que por seu proprio dinheiro como credito e paga fatura do seu proprio dinheiro que você pos como credito eles nunca da limite não e todo mentira você tem que faser do seu proprio dinheiro e paga fatura do dinheiro que você mesmo pois como credito ridiculo ser roubado asim na cara dura
