,reviews_classified_all
196,otimo
197,poderia ser melhor se aumentasse meu limite
198,pessoal e so o meu ou o de vcs tambem nao ta dando pra tirar a foto do documento meu deus ta tudo turvo melhorem esse aplicativo
199,muito bom simples e facil
200,vou da so 1 estrelas porque o aplicativo ta muito ruim fui tentar efetuar o pagamento pelo code nao consegui ate tentei copiar o codigo mas nao e so eu que to reclamando muita gente ta reclamando se vcs nao melhorar vou desinstalar e apagar minha conta ainda bem que minha mae tem uma conta no c6 bank ai eu transferi o dinheiro para la e conseguir efetuar o pagamento por enquanto eu vou continuar dando 1 estrelas
201,podiam melhorar o limite dos clientes
202,o aplicativo e bom porem eu nao ganho nada ao indicar clientes e nem gratificacao se eu pudesse dar um 0 eu dava um 0 mais como nao posso eu dou uma estrela para empresa eu indiquei uma pessoa para empresa da nubank ea pessoa abriu sua conta mas eu nao ganhei credibilidade nenhuma e nem uma gratificacao da nubank viva aitau
203,otima
204,apos alguns problemas que tive com o aplicativo a quase 1 mes deu tudo certo e o dinheiro que eu ja tinha esquecido que perdi ta de volta na minha conta
205,o melhor banco que ja usei muito obrigado mesmo a vcs da nubank que facilita muito minha vida
206,facil de utilizar servico descomplicado e muito intuitivo com total seguranca
207,melhor aplicativo de banco que ja usei
208,simples e facil manuseio muito bom
209,melhor aplicativo
210,otima
211,nao to conseguindo atualizar pra nova versao
212,otimo
213,parabens otimo
214,poderia ser melhor
215,otimo
216,um excelente aplicativo facil de usar gosto muito do roxinho
217,estou ate agora esperando uma mensagem em meu email pra confirmacao e ate agora nada ja desde o dia 1305 hoje e 14 e nada ja estou desanimando
218,quero bloquear minha conta
219,estou avaliando a qualidade de servicos nao pra expor a conta ou algo parecido nem dados nem nada ok
220,uma otima opcao para nos trabalhador
221,bom mais poderia melhorar na seguranca do aplicativo
222,mas que inferno havia indicado para minha familia o o banco no entanto esta se tornando um caos criar uma simples conta nessa plataforma um protocolo dos infernos nao vou mais recomendar minha avaliacao mudou a partir de hoje
223,achei uma besta fui fazer as missoes que nao pontuou para reservar o valor para cartao de credito foi em segundos para retirar foi uma eternidade cancelei esse lixo
224,muito bom so nao dou 5 porque demora muito o aumento de limites maia e sensacional top
225,excelente cartao
226,esse cartao nubank foi o melhor que ja usei nao troco por nada e otimo top de mais
227,otimo banco acessivel e pratico
228,650 a taxa p sacar dinheiro no caixa eletronico isso e um roubo vcs vao tomar o pouco que o povo tem e porque eu nao consigo transferir meu dinheiro p outra conta minha em outro banco
229,o aplicativo ta muito poluido e falta um modo escuro mas o servico de conta e cartao funciona muito bem
230,muito bom o aplicativo simples mas muito eficiente e pratico o meu melhor banco ate agora o legal tmb que nao fica enviando mensagem aleatoreas como promocoes e etc super recomendo parabens pelos criadores e desenvolvedores do aplicativo
231,nao ta baxando quando da 100 da erro baixei outro aplicativo de banco pra fazer o teste deu certo e o nubank foi aprovado pra mim mas nao consigo baixa o aplicativo
232,entre tantas opcoes no mercado a comunidade nubank deveria atender melhor seus clientes atendimento e respostas a duvidas esta cada vez piores resultando em uma mal opcao de banco virtual
233,otimo
234,espero concretizar meu pedido ok que e e abrir conta e cartao de credito
235,o aplicativo nao abre preciso pagar minhas contas o dinheiro esta ai mas nao consigo usar simples assim
236,otimo
237,minha experiencia com o nubank e a melhor possivel desde que meu cartao chegou nao paro de usalo o limite era de 400 e agora esta em 1300 sem falar que quando pagamos a fatura o limite e liberado no outro dia espero que nunca mudem a nao ser pra melhor 🤗
238,muito bom mas tem que ajuda as pessoas com um limite de credito para movimentar
239,top 10 otimo aplicativo muito bom corresponde com o que diz nota 10000
240,otimo
241,otimo
242,nao aumenta meu credito
243,bom e pratico
244,sugestao aplicativo excelente muito simples e rapido minha sugestao para melhorar o servico e que em casos que seja necessario realizar um pagamento de fatura aos finais de semana o valor fique indisponivel na nossa conta atualmente quando realizo o pagamento de alguma fatura no final de semana o valor ainda fica constando em minha conta logo nao e descontado de imediato me perco muito com isso tambem sugiro um calculadora disponivel no aplicativo para contas rapidas sem precisar sair da tela
245,ja tem um tempo que peco o aumento do limite sendo que pago todo em dias uso sempre o limite de 50 reais limite de 50 reais nao serve pra nada amigos meus que nunca tiveram cartao fizeram o pedido e receberam o cartao com 250 de limite eu peco e so sabem me dizer que e pra eu usar usar e pagar em dias ate quando 2 3 anos e vou migrar e o jeito tao de palhacada comigo
